context,benchmark_kind,dataset_id,dataset_label,structure_id,target_variant,target_display_name,comparator_variant,comparator_display_name,metric,ratio,target_value,comparator_value,interpretation
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f32,zsasa f32,freesasa,FreeSASA,rss_reduction,494.76461394185685,49.984375,24730.5,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f32,zsasa f32,rustsasa,RustSASA,runtime_speedup,1.994100725677054,0.11696555580000001,0.23324109969999998,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f32,zsasa f32,rustsasa,RustSASA,rss_reduction,3.947170990934667,49.984375,197.296875,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,runtime_speedup,136.47782595231817,0.10368107060666666,14.150167108806665,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,rss_reduction,476.30213662353293,51.921875,24730.5,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,runtime_speedup,2.249601574667793,0.10368107060666666,0.23324109969999998,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,rss_reduction,3.799879626843214,51.921875,197.296875,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,runtime_speedup,138.49163882858554,0.10217343970000002,14.150167108806665,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,rss_reduction,494.8161734055857,49.979166666666664,24730.5,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,runtime_speedup,2.2827958066679432,0.10217343970000002,0.23324109969999998,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,rss_reduction,3.947582325969154,49.979166666666664,197.296875,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f64,zsasa f64,freesasa,FreeSASA,runtime_speedup,40.85935065886632,4.696005666026667,191.87574220420666,higher means target is faster
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f64,zsasa f64,freesasa,FreeSASA,rss_reduction,14.946106201252954,1615.3489583333333,24143.177083333332,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f64,zsasa f64,rustsasa,RustSASA,runtime_speedup,1.8592340636336346,4.696005666026667,8.730973697293333,higher means target is faster
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f64,zsasa f64,rustsasa,RustSASA,rss_reduction,3.1580927753613612,1615.3489583333333,5101.421875,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f32,zsasa f32,freesasa,FreeSASA,runtime_speedup,41.041480377863934,4.675166208373333,191.87574220420666,higher means target is faster
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f32,zsasa f32,freesasa,FreeSASA,rss_reduction,14.753779560138769,1636.40625,24143.177083333332,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f32,zsasa f32,rustsasa,RustSASA,runtime_speedup,1.8675215614058711,4.675166208373333,8.730973697293333,higher means target is faster
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_f32,zsasa f32,rustsasa,RustSASA,rss_reduction,3.1174544065692733,1636.40625,5101.421875,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,runtime_speedup,50.649325785564585,3.788317795513333,191.87574220420666,higher means target is faster
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,rss_reduction,14.944853356030343,1615.484375,24143.177083333332,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,runtime_speedup,2.304709944776491,3.788317795513333,8.730973697293333,higher means target is faster
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,rss_reduction,3.157828050797458,1615.484375,5101.421875,higher means target uses less memory
single_file:9fqr:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,9fqr,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,runtime_speedup,50.55676454090167,3.795253591613333,191.87574220420666,higher means target is faster
