dataset_id,dataset_label,variant,display_name,threads,expected_count,runtime_mean_s,runtime_stddev_s,throughput_structures_per_sec,ms_per_structure,peak_rss_mean_mib,peak_rss_stddev_mib,throughput_per_mib,cpu_utilization_proxy,speedup_vs_1_thread,parallel_efficiency
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,rustsasa,RustSASA,1,4370,30.792002061433333,0.05029831758100553,141.91996971425837,7.046224728016781,38.890625,0.0,3.6492077387354502,0.8621449470450876,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,rustsasa,RustSASA,4,4370,8.116700317613335,0.17400869890728266,538.396125149163,1.8573684937330286,85.59375,0.0,6.29013362715342,3.5742130288724416,3.7936600904944497,0.9484150226236124
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,rustsasa,RustSASA,8,4370,6.270554231133334,0.1783860434510701,696.9080943918684,1.4349094350419531,143.14583333333334,0.11727427342914273,4.868518196886869,6.159171647312734,4.910571047859037,0.6138213809823796
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,rustsasa,RustSASA,10,4370,5.769201654973334,0.048781132291395156,757.4704892197426,1.3201834450739895,170.484375,0.24356964481437338,4.443049336455277,6.89629932170986,5.337307291883119,0.5337307291883119
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta,Lahuta,1,4370,46.81007916882,0.053264345927847595,93.3559625959966,10.711688596983983,77.40104166666667,4.203831647536963,1.2061331551329888,0.9734465407687678,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta,Lahuta,4,4370,12.453745590966667,0.0171310765241135,350.89844802753817,2.8498273663539284,122.078125,0.0,2.8743761261695178,3.955740342279048,3.7587149044359576,0.9396787261089894
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta,Lahuta,8,4370,8.187506157693333,0.0901677149845151,533.7400565975465,1.873571203133486,177.890625,0.0,3.0003832781943767,7.810512377639897,5.717257278009524,0.7146571597511905
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta,Lahuta,10,4370,7.6531595607866665,0.5841004082684591,571.0059963196179,1.7512950940015255,191.8125,0.0,2.976896689838347,8.644112192864469,6.116438419586329,0.6116438419586329
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta_bitmask,Lahuta bitmask,1,4370,13.437198419060001,0.043178114425486996,325.2166012374552,3.0748737801052637,80.03125,0.0,4.06362016384169,0.9077588467174907,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta_bitmask,Lahuta bitmask,4,4370,3.3615298593066663,0.02505629837512136,1300.0033267297338,0.7692288007566742,129.18229166666666,0.8840675996966144,10.063324546712451,3.8519868002414173,3.997346143410874,0.9993365358527185
