dataset_id,dataset_label,frame_count,atom_count,variant,display_name,bitmask_variant,threads,runtime_mean_s,runtime_median_s,runtime_stddev_s,speedup_vs_t10_median,frames_per_sec,peak_rss_mean_mib,manifest_id
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,10,9.169434199213333,9.157882449879999,0.04976414339367666,1.0,109.16704109026466,174.09375,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,20,8.99707540518,8.992396627180002,0.01540425539035358,1.018402860723448,111.25837618563045,285.4375,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,40,8.972895419679999,8.95674016968,0.07212601164924944,1.022457085545576,111.55819311172789,551.640625,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,10,7.047333940473334,7.04666777414,0.024913514167705476,1.0,142.03952990664834,157.53125,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,20,6.872525529173334,6.88138544584,0.031300567275673326,1.0240187575017932,145.652423661554,242.140625,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,40,6.831855673580001,6.8355886875800005,0.013659564414379419,1.0308794306104934,146.51948867582857,468.4166666666667,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,10,7.07875879612,7.060428032120001,0.03201851261014783,1.0,141.40897137908794,147.578125,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,20,6.888401169800001,6.8789706558,0.022487510527236756,1.0263785652533646,145.3167397375991,242.85416666666666,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,40,6.849302851146665,6.850152212479999,0.01394021201105579,1.0306965178462617,146.14626068584764,460.8020833333333,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f32,zsasa CLI f32,,10,14.955956477446668,14.96185889378,0.027041929010047774,1.0,66.9298551055221,142.828125,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f32,zsasa CLI f32,,20,14.667009788313335,14.66602745498,0.017865807221225924,1.0201712044865665,68.24840335196315,227.80729166666666,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f32,zsasa CLI f32,,40,14.636405527826668,14.63619638916,0.007821555321684678,1.022250487487391,68.39110860223867,444.6041666666667,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f64,zsasa CLI f64,,10,15.436239697413333,15.44285415608,0.021638025093853812,1.0,64.84739934219463,147.1875,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f64,zsasa CLI f64,,20,15.47866704914,15.60815600814,0.2320879345242148,0.9894092644913473,64.66965125757491,237.50520833333334,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f64,zsasa CLI f64,,40,15.11784473998,15.10882403198,0.021755771762416554,1.0221082807896218,66.21314196677774,463.6614583333333,trajectory-zsasa-t40
